X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Filing_Date,Purchase_Value
D  ,2022-05-02 19:45:41,2022-04-29,APRN  ,"Blue Apron Holdings, Inc.                        ",Sanberg Joseph N.                                         ,10%                                  ,P - Purchase,$12.00          ,"+3,333,333  ","10,268,802   ",+48% ,"+$39,999,996   ",,,,,2022-05-02,39999996.0
,2022-08-11 18:14:00,2022-08-09,HUBG  ,"Hub Group, Inc.                                  ",Yeager David P                                            ,"COB, CEO                           ",P - Purchase,$104.99         ,"+156,820    ","541,026      ",+41% ,"+$16,464,532   ",,,,,2022-08-11,16464532.0
,2022-08-11 06:00:18,2022-08-09,ET    ,Energy Transfer LP                                 ,Warren Kelcy L                                            ,Exec COB                             ,P - Purchase,$10.94          ,"+1,591,092  ","281,799,984  ",+1%  ,"+$17,406,546   ",,,,,2022-08-11,17406546.0
M  ,2022-08-08 20:55:18,2022-08-04,XOM   ,Exxon Mobil Corp                                   ,Ubben Jeffrey W                                           ,Dir                                  ,P - Purchase,$88.45          ,"+1,000,000  ","1,462,467    ",+216%,"+$88,445,292   ",,,,,2022-08-08,88445292.0
M  ,2022-08-08 20:22:27,2022-08-04,WCC   ,Wesco International Inc                            ,"Green Equity Investors Vii, L.P.                        ",10%                                  ,P - Purchase,$131.08         ,"+600,000    ","3,412,258    ",+21% ,"+$78,647,029   ",,,,,2022-08-08,78647029.0
DM ,2022-08-08 19:11:57,2022-08-04,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$58.48          ,"+6,681,669  ","188,466,460  ",+4%  ,"+$390,719,454  ",,,,,2022-08-08,390719454.0
ADM,2022-08-08 17:39:18,2022-08-07,APRN  ,"Blue Apron Holdings, Inc.                        ",Sanberg Joseph N.                                         ,10%                                  ,P - Purchase,$6.00           ,"+11,666,666 ","18,602,135   ",+168%,"+$69,999,992   ",,,,,2022-08-08,69999992.0
AD ,2022-08-08 16:06:53,2020-07-16,HLLY  ,Holley Inc.                                        ,Empower Sponsor Holdings LLC                              ,10%                                  ,P - Purchase,$1.80           ,"+6,100,000  ","12,350,000   ",+98% ,"+$11,000,000   ",,,,,2022-08-08,11000000.0
,2022-08-01 18:11:57,2022-07-29,TXMD  ,"Therapeuticsmd, Inc.                             ",Rubric Capital Management LP                              ,10%                                  ,P - Purchase,$25.86          ,"+580,000    ","1,736,953    ",+50% ,"+$14,999,950   ",,,,,2022-08-01,14999950.0
,2022-08-01 16:15:47,2022-08-01,LXRX  ,"Lexicon Pharmaceuticals, Inc.                    ",Artal International S.C.A.                                ,"Dir, 10%                           ",P - Purchase,$2.50           ,"+16,173,800 ","87,352,164   ",+23% ,"+$40,434,500   ",,,,,2022-08-01,40434500.0
