Ticker,Filing_Date,Purchase_Value
MGX   ,2024-02-15,13025000.0
MIDD  ,2025-05-13,65551806.0
MIDD  ,2025-05-22,20279599.0
MIST  ,2022-09-09,13564484.0
MLPT  ,2025-10-29,92499992.0
MLTX  ,2023-03-22,16774846.0
MLTX  ,2023-06-28,20535012.0
MLTX  ,2023-07-05,40000000.0
MLTX  ,2023-10-04,16800343.0
MLYS  ,2023-02-16,35000000.0
MLYS  ,2025-03-17,17499996.0
MLYS  ,2025-09-08,44999978.0
MMU   ,2023-02-28,20277776.0
MNKTQ ,2024-05-13,26300000.0
MNKTQ ,2024-06-18,14506250.0
MNR   ,2025-02-10,79999995.0
MNRO  ,2025-11-07,11102374.0
MODV  ,2023-08-10,15578213.0
MODV  ,2023-09-15,10816829.0
MORF  ,2023-05-04,47250000.0
MPLT  ,2025-10-30,16199997.0
MRCY  ,2024-02-13,37270159.0
MRTX  ,2023-08-15,69998898.0
MSM   ,2022-07-14,2947800000.0
MSM   ,2025-04-09,11101253.0
MSM   ,2025-11-03,15408432.0
MSTR  ,2025-07-29,19800000.0
MTSR  ,2025-02-03,94219956.0
MYOV  ,2023-03-10,1393178400.0
NCR   ,2022-11-14,17502346.0
NE    ,2024-07-05,13243965.0
NE    ,2024-07-15,28918022.0
NE    ,2024-11-08,46104795.0
NE    ,2024-11-12,24537776.0
NEGG  ,2025-07-21,12369205.0
NEXT  ,2024-07-31,87681818.0
NFE   ,2024-10-03,49999993.0
NG    ,2025-05-09,50000003.0
NGM   ,2022-06-13,8131138488.0
NH    ,2023-08-30,15999975.0
NKLA  ,2022-08-24,17400000.0
NKTX  ,2024-03-28,20000000.0
NKTX  ,2024-03-29,30000000.0
NLOK  ,2022-06-15,11334423600.0
NMRA  ,2023-09-19,29999985.0
NMRA  ,2023-09-20,76500000.0
NN    ,2022-06-15,6693343428.0
NOSYM ,2022-06-03,3195179784.0
NRBO  ,2024-07-10,10000003.0
NRDY  ,2022-08-23,17500000.0
NSIT  ,2022-05-12,2394144000.0
NSIT  ,2022-05-25,3110673600.0
NSIT  ,2022-08-29,10234313.0
NSIT  ,2023-02-16,10905171.0
NTSK  ,2025-09-22,114000000.0
NUVL  ,2022-11-07,21775000.0
NVTS  ,2025-07-30,163894850.0
OCX   ,2025-02-10,10589675.0
OLMA  ,2023-09-14,14818371.0
OMGA  ,2023-02-27,19208732.0
OMI   ,2025-03-04,27386158.0
OSCR  ,2024-11-13,28859964.0
OXY   ,2022-05-04,68589629700.0
OXY   ,2022-05-12,10544829564.0
OXY   ,2022-06-22,107872539432.0
OXY   ,2022-06-27,8976293760.0
OXY   ,2022-07-01,118819685760.0
OXY   ,2022-07-07,142346701188.0
OXY   ,2022-07-13,50967738012.0
OXY   ,2022-07-18,22871107692.0
OXY   ,2022-07-19,2948885280.0
OXY   ,2022-08-08,79706768616.0
OXY   ,2022-09-28,352492331.0
OXY   ,2023-03-07,354513472.0
OXY   ,2023-03-15,466678970.0
OXY   ,2023-03-27,216244695.0
OXY   ,2023-05-15,125746876.0
OXY   ,2023-05-18,201421322.0
OXY   ,2023-05-30,272996222.0
OXY   ,2023-06-28,122104510.0
OXY   ,2023-10-25,246408342.0
OXY   ,2023-12-13,588674276.0
OXY   ,2023-12-21,312092882.0
OXY   ,2024-02-05,245879813.0
OXY   ,2024-06-07,153292504.0
OXY   ,2024-06-12,105550532.0
OXY   ,2024-06-17,175976799.0
OXY   ,2024-12-19,409153148.0
OXY   ,2025-02-11,35724074.0
PAMT  ,2025-09-15,21490000.0
PARA  ,2022-05-18,4270787532.0
PBF   ,2024-01-17,53714815.0
PBF   ,2024-01-19,20784550.0
PBF   ,2024-06-05,12603768.0
PBF   ,2024-06-14,23075058.0
PBF   ,2024-06-18,28134433.0
PBF   ,2024-06-21,24695145.0
PBF   ,2024-06-25,30828270.0
PBF   ,2024-07-01,14468911.0
PBF   ,2024-08-05,13903588.0
PBF   ,2024-09-05,40233355.0
PBF   ,2024-09-09,40813354.0
PBF   ,2024-09-11,24622874.0
PBF   ,2024-09-13,26433368.0
PBF   ,2024-09-24,16391491.0
PBF   ,2024-10-17,31816000.0
PBF   ,2024-10-25,15513108.0
PBF   ,2024-10-30,11657328.0
PBF   ,2024-11-01,17874956.0
PBF   ,2024-12-02,18985493.0
PCOR  ,2022-06-14,9995791104.0
PCT   ,2024-09-16,20000003.0
PEPG  ,2022-05-12,7905081600.0
PEPG  ,2024-02-13,27212790.0
PEPG  ,2024-04-09,10559640.0
PEPG  ,2025-09-30,30000000.0
PFSW  ,2022-12-30,15658000.0
PGEN  ,2023-01-31,19999999.0
PGEN  ,2024-08-13,19999999.0
PI    ,2023-02-14,13976391.0
PI    ,2023-02-16,13976391.0
PI    ,2023-08-15,15365492.0
PI    ,2023-08-17,13781138.0
PI    ,2023-08-18,11437951.0
PI    ,2024-09-16,20000003.0
PLAY  ,2022-12-16,24233458.0
PLAY  ,2022-12-21,35853760.0
PLAY  ,2022-12-27,28499696.0
PLBY  ,2023-03-23,18672102.0
PLCE  ,2024-02-13,20387178.0
PLCE  ,2024-02-14,24749525.0
PLCE  ,2024-02-15,10779027.0
PLCE  ,2024-02-16,55915730.0
PLPC  ,2022-09-16,107945280.0
PLSE  ,2023-05-10,65249320.0
PLYA  ,2025-06-16,13454006.0
PLYA  ,2025-06-20,14781299.0
POST  ,2025-06-09,20376135.0
PPTA  ,2025-06-16,99999992.0
PRM   ,2022-05-10,2823360000.0
PRME  ,2022-10-26,40800000.0
PRME  ,2024-02-20,60000000.0
PROK  ,2024-06-14,54735340.0
PROK  ,2024-06-25,19999998.0
PRPL  ,2022-05-16,3264057120.0
PRPL  ,2022-05-18,3189090588.0
PRPL  ,2023-02-14,26821440.0
PRTA  ,2022-05-09,6291482196.0
PSNL  ,2024-08-20,17745000.0
PTN   ,2025-06-17,450000000.0
PTSI  ,2023-08-03,133388816.0
PTSI  ,2023-09-25,134890937.0
PTSI  ,2024-07-31,74072087.0
RANI  ,2023-12-08,10582982.0
RAPT  ,2022-05-12,5442465000.0
RBT   ,2023-08-03,12875000.0
RCKT  ,2022-10-11,19999997.0
RCUS  ,2023-06-30,19452600.0
RCUS  ,2024-01-31,319999995.0
RCUS  ,2025-02-20,14999996.0
RDUS  ,2022-08-12,16907067.0
REEMF ,2024-03-19,29326030.0
REZI  ,2025-05-09,99999992.0
REZI  ,2025-07-25,99999992.0
REZI  ,2025-08-12,35207907.0
REZI  ,2025-08-18,20669928.0
REZI  ,2025-08-21,21922639.0
REZI  ,2025-09-04,13726148.0
RFL   ,2025-06-09,16742985.0
RIG   ,2024-05-17,36060000.0
RIG   ,2024-08-05,31380000.0
RIG   ,2025-09-30,36600000.0
ROIV  ,2022-11-14,20000000.0
RPD   ,2025-08-13,15135356.0
RPT   ,2025-03-21,10000000.0
RPTX  ,2022-06-06,4459303116.0
